datetime,count
Mon Dec 05 2011 00:00:00 GMT-0500 (EST),2
Tue Dec 06 2011 00:00:00 GMT-0500 (EST),1
Fri Dec 09 2011 00:00:00 GMT-0500 (EST),1
Fri Mar 09 2012 00:00:00 GMT-0500 (EST),2
Mon Mar 26 2012 00:00:00 GMT-0400 (EDT),1
Mon May 14 2012 00:00:00 GMT-0400 (EDT),1
Thu May 17 2012 00:00:00 GMT-0400 (EDT),2
Fri May 18 2012 00:00:00 GMT-0400 (EDT),1
Sun May 20 2012 00:00:00 GMT-0400 (EDT),1
Mon May 21 2012 00:00:00 GMT-0400 (EDT),1
Tue May 22 2012 00:00:00 GMT-0400 (EDT),2
Tue Jun 05 2012 00:00:00 GMT-0400 (EDT),3
Wed Jun 13 2012 00:00:00 GMT-0400 (EDT),1
Thu Jul 12 2012 00:00:00 GMT-0400 (EDT),2
Fri Jul 13 2012 00:00:00 GMT-0400 (EDT),2
Tue Jul 17 2012 00:00:00 GMT-0400 (EDT),1
Mon Jul 23 2012 00:00:00 GMT-0400 (EDT),1
Wed Aug 01 2012 00:00:00 GMT-0400 (EDT),3
Mon Aug 06 2012 00:00:00 GMT-0400 (EDT),1
Tue Aug 07 2012 00:00:00 GMT-0400 (EDT),2
Tue Aug 14 2012 00:00:00 GMT-0400 (EDT),2
Thu Aug 23 2012 00:00:00 GMT-0400 (EDT),2
Mon Sep 17 2012 00:00:00 GMT-0400 (EDT),1
Wed Sep 26 2012 00:00:00 GMT-0400 (EDT),1
Thu Oct 11 2012 00:00:00 GMT-0400 (EDT),2
Sun Oct 14 2012 00:00:00 GMT-0400 (EDT),1
Thu Oct 18 2012 00:00:00 GMT-0400 (EDT),1
Sun Oct 21 2012 00:00:00 GMT-0400 (EDT),6
Thu Oct 25 2012 00:00:00 GMT-0400 (EDT),1
Thu Dec 06 2012 00:00:00 GMT-0500 (EST),10
Mon Jan 21 2013 00:00:00 GMT-0500 (EST),1
Wed Mar 13 2013 00:00:00 GMT-0400 (EDT),1
